ASSERTION	AAEDAAEBAQAAAAAAAECfQA==
RUN	parabank.login.LoginBaseLoad	loginbaseload	1760300893369	 	3.3.1
USER	Login	2	START	1760300894291	1760300894291
USER	Login	24	START	1760300894296	1760300894296
USER	Login	27	START	1760300894297	1760300894297
USER	Login	31	START	1760300894297	1760300894297
USER	Login	12	START	1760300894293	1760300894293
USER	Login	21	START	1760300894296	1760300894296
USER	Login	48	START	1760300894299	1760300894299
USER	Login	4	START	1760300894291	1760300894291
USER	Login	35	START	1760300894298	1760300894298
USER	Login	20	START	1760300894295	1760300894295
USER	Login	52	START	1760300894328	1760300894328
USER	Login	49	START	1760300894328	1760300894328
USER	Login	50	START	1760300894328	1760300894328
USER	Login	55	START	1760300894328	1760300894328
USER	Login	56	START	1760300894328	1760300894328
USER	Login	57	START	1760300894328	1760300894328
USER	Login	53	START	1760300894328	1760300894328
USER	Login	59	START	1760300894328	1760300894328
USER	Login	38	START	1760300894298	1760300894298
USER	Login	54	START	1760300894328	1760300894328
USER	Login	51	START	1760300894328	1760300894328
USER	Login	61	START	1760300894328	1760300894328
USER	Login	62	START	1760300894328	1760300894328
USER	Login	64	START	1760300894328	1760300894328
USER	Login	67	START	1760300894329	1760300894329
USER	Login	60	START	1760300894328	1760300894328
USER	Login	58	START	1760300894328	1760300894328
USER	Login	66	START	1760300894328	1760300894328
USER	Login	72	START	1760300894329	1760300894329
USER	Login	65	START	1760300894328	1760300894328
USER	Login	73	START	1760300894329	1760300894329
USER	Login	74	START	1760300894329	1760300894329
USER	Login	75	START	1760300894329	1760300894329
USER	Login	63	START	1760300894328	1760300894328
USER	Login	77	START	1760300894329	1760300894329
USER	Login	78	START	1760300894329	1760300894329
USER	Login	79	START	1760300894329	1760300894329
USER	Login	3	START	1760300894291	1760300894291
USER	Login	82	START	1760300894330	1760300894330
USER	Login	81	START	1760300894330	1760300894330
USER	Login	83	START	1760300894330	1760300894330
USER	Login	76	START	1760300894329	1760300894329
USER	Login	84	START	1760300894330	1760300894330
USER	Login	85	START	1760300894330	1760300894330
USER	Login	10	START	1760300894293	1760300894293
USER	Login	86	START	1760300894330	1760300894330
USER	Login	18	START	1760300894295	1760300894295
USER	Login	87	START	1760300894330	1760300894330
USER	Login	88	START	1760300894330	1760300894330
USER	Login	89	START	1760300894330	1760300894330
USER	Login	90	START	1760300894330	1760300894330
USER	Login	93	START	1760300894330	1760300894330
USER	Login	92	START	1760300894330	1760300894330
USER	Login	95	START	1760300894330	1760300894330
USER	Login	96	START	1760300894330	1760300894330
USER	Login	91	START	1760300894330	1760300894330
USER	Login	97	START	1760300894330	1760300894330
USER	Login	98	START	1760300894330	1760300894330
USER	Login	99	START	1760300894330	1760300894330
USER	Login	94	START	1760300894330	1760300894330
USER	Login	100	START	1760300894330	1760300894330
USER	Login	71	START	1760300894329	1760300894329
USER	Login	46	START	1760300894299	1760300894299
USER	Login	11	START	1760300894293	1760300894293
USER	Login	69	START	1760300894329	1760300894329
USER	Login	40	START	1760300894298	1760300894298
USER	Login	8	START	1760300894292	1760300894292
USER	Login	29	START	1760300894297	1760300894297
USER	Login	32	START	1760300894297	1760300894297
USER	Login	70	START	1760300894329	1760300894329
USER	Login	68	START	1760300894329	1760300894329
USER	Login	80	START	1760300894330	1760300894330
USER	Login	1	START	1760300894291	1760300894291
USER	Login	13	START	1760300894293	1760300894293
USER	Login	45	START	1760300894299	1760300894299
USER	Login	17	START	1760300894294	1760300894294
USER	Login	14	START	1760300894294	1760300894294
USER	Login	19	START	1760300894295	1760300894295
USER	Login	30	START	1760300894297	1760300894297
USER	Login	26	START	1760300894297	1760300894297
USER	Login	7	START	1760300894292	1760300894292
USER	Login	5	START	1760300894292	1760300894292
USER	Login	16	START	1760300894294	1760300894294
USER	Login	47	START	1760300894299	1760300894299
USER	Login	28	START	1760300894297	1760300894297
USER	Login	43	START	1760300894298	1760300894298
USER	Login	23	START	1760300894296	1760300894296
USER	Login	25	START	1760300894297	1760300894297
USER	Login	36	START	1760300894298	1760300894298
USER	Login	39	START	1760300894298	1760300894298
USER	Login	34	START	1760300894297	1760300894297
USER	Login	41	START	1760300894298	1760300894298
USER	Login	37	START	1760300894298	1760300894298
USER	Login	15	START	1760300894294	1760300894294
USER	Login	33	START	1760300894298	1760300894298
