ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.payment.Payment	payment	1760300941581	 	3.3.1
USER	make payments simultaneously	15	START	1760300942611	1760300942611
USER	make payments simultaneously	29	START	1760300942613	1760300942613
USER	make payments simultaneously	34	START	1760300942614	1760300942614
USER	make payments simultaneously	41	START	1760300942616	1760300942616
USER	make payments simultaneously	19	START	1760300942612	1760300942612
USER	make payments simultaneously	18	START	1760300942611	1760300942611
USER	make payments simultaneously	22	START	1760300942612	1760300942612
USER	make payments simultaneously	6	START	1760300942606	1760300942606
USER	make payments simultaneously	11	START	1760300942608	1760300942608
USER	make payments simultaneously	24	START	1760300942613	1760300942613
USER	make payments simultaneously	25	START	1760300942613	1760300942613
USER	make payments simultaneously	21	START	1760300942612	1760300942612
USER	make payments simultaneously	54	START	1760300942644	1760300942644
USER	make payments simultaneously	49	START	1760300942644	1760300942644
USER	make payments simultaneously	53	START	1760300942644	1760300942644
USER	make payments simultaneously	51	START	1760300942644	1760300942644
USER	make payments simultaneously	52	START	1760300942644	1760300942644
USER	make payments simultaneously	55	START	1760300942644	1760300942644
USER	make payments simultaneously	56	START	1760300942644	1760300942644
USER	make payments simultaneously	50	START	1760300942644	1760300942644
USER	make payments simultaneously	57	START	1760300942644	1760300942644
USER	make payments simultaneously	58	START	1760300942645	1760300942645
USER	make payments simultaneously	59	START	1760300942645	1760300942645
USER	make payments simultaneously	60	START	1760300942645	1760300942645
USER	make payments simultaneously	61	START	1760300942645	1760300942645
USER	make payments simultaneously	63	START	1760300942645	1760300942645
USER	make payments simultaneously	62	START	1760300942645	1760300942645
USER	make payments simultaneously	64	START	1760300942645	1760300942645
USER	make payments simultaneously	65	START	1760300942645	1760300942645
USER	make payments simultaneously	67	START	1760300942645	1760300942645
USER	make payments simultaneously	68	START	1760300942645	1760300942645
USER	make payments simultaneously	71	START	1760300942645	1760300942645
USER	make payments simultaneously	69	START	1760300942645	1760300942645
USER	make payments simultaneously	70	START	1760300942645	1760300942645
USER	make payments simultaneously	31	START	1760300942614	1760300942614
USER	make payments simultaneously	48	START	1760300942617	1760300942617
USER	make payments simultaneously	5	START	1760300942606	1760300942606
USER	make payments simultaneously	75	START	1760300942645	1760300942645
USER	make payments simultaneously	76	START	1760300942645	1760300942645
USER	make payments simultaneously	74	START	1760300942645	1760300942645
USER	make payments simultaneously	77	START	1760300942645	1760300942645
USER	make payments simultaneously	20	START	1760300942612	1760300942612
USER	make payments simultaneously	72	START	1760300942645	1760300942645
USER	make payments simultaneously	79	START	1760300942645	1760300942645
USER	make payments simultaneously	73	START	1760300942645	1760300942645
USER	make payments simultaneously	82	START	1760300942645	1760300942645
USER	make payments simultaneously	36	START	1760300942614	1760300942614
USER	make payments simultaneously	81	START	1760300942645	1760300942645
USER	make payments simultaneously	83	START	1760300942645	1760300942645
USER	make payments simultaneously	66	START	1760300942645	1760300942645
USER	make payments simultaneously	84	START	1760300942645	1760300942645
USER	make payments simultaneously	27	START	1760300942613	1760300942613
USER	make payments simultaneously	92	START	1760300942646	1760300942646
USER	make payments simultaneously	93	START	1760300942646	1760300942646
USER	make payments simultaneously	94	START	1760300942646	1760300942646
USER	make payments simultaneously	85	START	1760300942645	1760300942645
USER	make payments simultaneously	87	START	1760300942645	1760300942645
