ASSERTION	AAECAAMEAAAAAAAAwFhA
ASSERTION	AAEDAAEBAwAAAAAAAHCnQA==
RUN	parabank.state.StateLoad	stateload	1760300927123	 	3.3.1
USER	Carga de Estados de cuentas	2	START	1760300928121	1760300928121
USER	Carga de Estados de cuentas	36	START	1760300928129	1760300928129
USER	Carga de Estados de cuentas	33	START	1760300928129	1760300928129
USER	Carga de Estados de cuentas	21	START	1760300928126	1760300928126
USER	Carga de Estados de cuentas	38	START	1760300928130	1760300928130
USER	Carga de Estados de cuentas	16	START	1760300928124	1760300928124
USER	Carga de Estados de cuentas	25	START	1760300928127	1760300928127
USER	Carga de Estados de cuentas	17	START	1760300928124	1760300928124
USER	Carga de Estados de cuentas	27	START	1760300928128	1760300928128
USER	Carga de Estados de cuentas	11	START	1760300928122	1760300928122
USER	Carga de Estados de cuentas	50	START	1760300928158	1760300928158
USER	Carga de Estados de cuentas	44	START	1760300928130	1760300928130
USER	Carga de Estados de cuentas	10	START	1760300928122	1760300928122
USER	Carga de Estados de cuentas	39	START	1760300928130	1760300928130
USER	Carga de Estados de cuentas	22	START	1760300928127	1760300928127
USER	Carga de Estados de cuentas	47	START	1760300928130	1760300928130
USER	Carga de Estados de cuentas	54	START	1760300928158	1760300928158
USER	Carga de Estados de cuentas	4	START	1760300928121	1760300928121
USER	Carga de Estados de cuentas	55	START	1760300928158	1760300928158
USER	Carga de Estados de cuentas	61	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	51	START	1760300928158	1760300928158
USER	Carga de Estados de cuentas	49	START	1760300928158	1760300928158
USER	Carga de Estados de cuentas	63	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	64	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	20	START	1760300928125	1760300928125
USER	Carga de Estados de cuentas	65	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	66	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	67	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	68	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	62	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	56	START	1760300928158	1760300928158
USER	Carga de Estados de cuentas	69	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	71	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	59	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	28	START	1760300928128	1760300928128
USER	Carga de Estados de cuentas	60	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	73	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	79	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	78	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	57	START	1760300928158	1760300928158
USER	Carga de Estados de cuentas	80	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	40	START	1760300928130	1760300928130
USER	Carga de Estados de cuentas	84	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	81	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	74	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	82	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	76	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	86	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	83	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	77	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	87	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	91	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	89	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	92	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	90	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	85	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	93	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	94	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	98	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	99	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	95	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	101	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	96	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	100	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	97	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	103	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	106	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	105	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	104	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	108	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	109	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	111	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	88	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	107	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	112	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	113	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	117	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	116	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	114	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	115	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	121	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	122	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	123	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	124	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	120	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	119	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	126	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	129	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	1	START	1760300928121	1760300928121
USER	Carga de Estados de cuentas	133	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	128	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	132	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	118	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	135	START	1760300928162	1760300928162
USER	Carga de Estados de cuentas	58	START	1760300928158	1760300928158
USER	Carga de Estados de cuentas	42	START	1760300928130	1760300928130
USER	Carga de Estados de cuentas	43	START	1760300928130	1760300928130
USER	Carga de Estados de cuentas	136	START	1760300928162	1760300928162
USER	Carga de Estados de cuentas	140	START	1760300928162	1760300928162
USER	Carga de Estados de cuentas	142	START	1760300928162	1760300928162
USER	Carga de Estados de cuentas	143	START	1760300928162	1760300928162
USER	Carga de Estados de cuentas	144	START	1760300928162	1760300928162
USER	Carga de Estados de cuentas	145	START	1760300928162	1760300928162
USER	Carga de Estados de cuentas	138	START	1760300928162	1760300928162
USER	Carga de Estados de cuentas	148	START	1760300928162	1760300928162
USER	Carga de Estados de cuentas	146	START	1760300928162	1760300928162
USER	Carga de Estados de cuentas	149	START	1760300928162	1760300928162
USER	Carga de Estados de cuentas	102	START	1760300928160	1760300928160
USER	Carga de Estados de cuentas	125	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	153	START	1760300928163	1760300928163
USER	Carga de Estados de cuentas	8	START	1760300928122	1760300928122
USER	Carga de Estados de cuentas	155	START	1760300928163	1760300928163
USER	Carga de Estados de cuentas	151	START	1760300928163	1760300928163
USER	Carga de Estados de cuentas	156	START	1760300928163	1760300928163
USER	Carga de Estados de cuentas	70	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	158	START	1760300928163	1760300928163
USER	Carga de Estados de cuentas	157	START	1760300928163	1760300928163
USER	Carga de Estados de cuentas	159	START	1760300928163	1760300928163
USER	Carga de Estados de cuentas	160	START	1760300928163	1760300928163
USER	Carga de Estados de cuentas	163	START	1760300928163	1760300928163
USER	Carga de Estados de cuentas	162	START	1760300928163	1760300928163
USER	Carga de Estados de cuentas	152	START	1760300928163	1760300928163
USER	Carga de Estados de cuentas	164	START	1760300928163	1760300928163
USER	Carga de Estados de cuentas	165	START	1760300928163	1760300928163
USER	Carga de Estados de cuentas	75	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	166	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	167	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	161	START	1760300928163	1760300928163
USER	Carga de Estados de cuentas	170	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	169	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	168	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	141	START	1760300928162	1760300928162
USER	Carga de Estados de cuentas	52	START	1760300928158	1760300928158
USER	Carga de Estados de cuentas	171	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	173	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	172	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	7	START	1760300928122	1760300928122
USER	Carga de Estados de cuentas	175	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	139	START	1760300928162	1760300928162
USER	Carga de Estados de cuentas	180	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	30	START	1760300928128	1760300928128
USER	Carga de Estados de cuentas	53	START	1760300928158	1760300928158
USER	Carga de Estados de cuentas	181	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	176	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	183	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	184	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	186	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	185	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	187	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	189	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	190	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	188	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	191	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	192	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	193	START	1760300928165	1760300928165
USER	Carga de Estados de cuentas	182	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	19	START	1760300928124	1760300928124
USER	Carga de Estados de cuentas	195	START	1760300928165	1760300928165
USER	Carga de Estados de cuentas	194	START	1760300928165	1760300928165
USER	Carga de Estados de cuentas	199	START	1760300928165	1760300928165
USER	Carga de Estados de cuentas	200	START	1760300928165	1760300928165
USER	Carga de Estados de cuentas	198	START	1760300928165	1760300928165
USER	Carga de Estados de cuentas	197	START	1760300928165	1760300928165
USER	Carga de Estados de cuentas	72	START	1760300928159	1760300928159
USER	Carga de Estados de cuentas	196	START	1760300928165	1760300928165
USER	Carga de Estados de cuentas	137	START	1760300928162	1760300928162
USER	Carga de Estados de cuentas	46	START	1760300928130	1760300928130
USER	Carga de Estados de cuentas	179	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	5	START	1760300928121	1760300928121
USER	Carga de Estados de cuentas	6	START	1760300928121	1760300928121
USER	Carga de Estados de cuentas	131	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	37	START	1760300928129	1760300928129
USER	Carga de Estados de cuentas	134	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	35	START	1760300928129	1760300928129
USER	Carga de Estados de cuentas	110	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	130	START	1760300928161	1760300928161
USER	Carga de Estados de cuentas	9	START	1760300928122	1760300928122
USER	Carga de Estados de cuentas	31	START	1760300928128	1760300928128
USER	Carga de Estados de cuentas	178	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	177	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	127	START	1760300928166	1760300928166
USER	Carga de Estados de cuentas	18	START	1760300928124	1760300928124
USER	Carga de Estados de cuentas	23	START	1760300928127	1760300928127
USER	Carga de Estados de cuentas	147	START	1760300928162	1760300928162
USER	Carga de Estados de cuentas	45	START	1760300928130	1760300928130
USER	Carga de Estados de cuentas	174	START	1760300928164	1760300928164
USER	Carga de Estados de cuentas	29	START	1760300928128	1760300928128
USER	Carga de Estados de cuentas	48	START	1760300928130	1760300928130
USER	Carga de Estados de cuentas	15	START	1760300928123	1760300928123
USER	Carga de Estados de cuentas	32	START	1760300928129	1760300928129
USER	Carga de Estados de cuentas	14	START	1760300928123	1760300928123
USER	Carga de Estados de cuentas	26	START	1760300928128	1760300928128
USER	Carga de Estados de cuentas	12	START	1760300928122	1760300928122
USER	Carga de Estados de cuentas	154	START	1760300928163	1760300928163
USER	Carga de Estados de cuentas	3	START	1760300928121	1760300928121
USER	Carga de Estados de cuentas	150	START	1760300928162	1760300928162
USER	Carga de Estados de cuentas	13	START	1760300928123	1760300928123
USER	Carga de Estados de cuentas	24	START	1760300928127	1760300928127
USER	Carga de Estados de cuentas	34	START	1760300928129	1760300928129
USER	Carga de Estados de cuentas	41	START	1760300928130	1760300928130
REQUEST	3		Accounts	1760300928155	1760300928908	OK	 
REQUEST	55		Accounts	1760300928159	1760300928914	OK	 
USER	Carga de Estados de cuentas	3	END	1760300928121	1760300928921
USER	Carga de Estados de cuentas	55	END	1760300928158	1760300928921
REQUEST	51		Accounts	1760300928159	1760300928923	OK	 
REQUEST	48		Accounts	1760300928156	1760300928923	OK	 
USER	Carga de Estados de cuentas	51	END	1760300928158	1760300928923
USER	Carga de Estados de cuentas	48	END	1760300928130	1760300928923
REQUEST	11		Accounts	1760300928157	1760300928929	OK	 
USER	Carga de Estados de cuentas	11	END	1760300928122	1760300928930
REQUEST	108		Accounts	1760300928161	1760300928938	OK	 
USER	Carga de Estados de cuentas	108	END	1760300928161	1760300928939
REQUEST	23		Accounts	1760300928155	1760300928939	OK	 
USER	Carga de Estados de cuentas	23	END	1760300928127	1760300928939
REQUEST	35		Accounts	1760300928155	1760300928942	OK	 
USER	Carga de Estados de cuentas	35	END	1760300928129	1760300928942
REQUEST	128		Accounts	1760300928162	1760300928945	OK	 
USER	Carga de Estados de cuentas	128	END	1760300928161	1760300928945
REQUEST	76		Accounts	1760300928160	1760300928946	OK	 
USER	Carga de Estados de cuentas	76	END	1760300928159	1760300928946
REQUEST	151		Accounts	1760300928163	1760300928958	OK	 
USER	Carga de Estados de cuentas	151	END	1760300928163	1760300928959
REQUEST	83		Accounts	1760300928160	1760300928959	OK	 
REQUEST	87		Accounts	1760300928160	1760300928960	OK	 
USER	Carga de Estados de cuentas	83	END	1760300928160	1760300928960
USER	Carga de Estados de cuentas	87	END	1760300928160	1760300928961
REQUEST	45		Accounts	1760300928155	1760300928962	OK	 
REQUEST	46		Accounts	1760300928156	1760300928962	OK	 
USER	Carga de Estados de cuentas	45	END	1760300928130	1760300928962
USER	Carga de Estados de cuentas	46	END	1760300928130	1760300928962
REQUEST	142		Accounts	1760300928162	1760300928963	OK	 
USER	Carga de Estados de cuentas	142	END	1760300928162	1760300928963
REQUEST	16		Accounts	1760300928155	1760300928969	OK	 
USER	Carga de Estados de cuentas	16	END	1760300928124	1760300928969
REQUEST	80		Accounts	1760300928160	1760300928972	OK	 
USER	Carga de Estados de cuentas	80	END	1760300928159	1760300928972
REQUEST	5		Accounts	1760300928157	1760300928975	OK	 
REQUEST	144		Accounts	1760300928162	1760300928975	OK	 
USER	Carga de Estados de cuentas	5	END	1760300928121	1760300928976
USER	Carga de Estados de cuentas	144	END	1760300928162	1760300928976
REQUEST	19		Accounts	1760300928155	1760300928977	OK	 
USER	Carga de Estados de cuentas	19	END	1760300928124	1760300928977
REQUEST	112		Accounts	1760300928161	1760300928981	OK	 
REQUEST	96		Accounts	1760300928160	1760300928981	OK	 
USER	Carga de Estados de cuentas	112	END	1760300928161	1760300928981
USER	Carga de Estados de cuentas	96	END	1760300928160	1760300928981
REQUEST	115		Accounts	1760300928161	1760300928982	OK	 
USER	Carga de Estados de cuentas	115	END	1760300928161	1760300928982
REQUEST	102		Accounts	1760300928162	1760300928983	OK	 
USER	Carga de Estados de cuentas	102	END	1760300928160	1760300928983
REQUEST	107		Accounts	1760300928161	1760300928985	OK	 
USER	Carga de Estados de cuentas	107	END	1760300928161	1760300928985
REQUEST	139		Accounts	1760300928164	1760300928985	OK	 
USER	Carga de Estados de cuentas	139	END	1760300928162	1760300928986
REQUEST	134		Accounts	1760300928165	1760300928994	OK	 
USER	Carga de Estados de cuentas	134	END	1760300928161	1760300928994
REQUEST	129		Accounts	1760300928161	1760300928994	OK	 
REQUEST	78		Accounts	1760300928160	1760300928994	OK	 
REQUEST	77		Accounts	1760300928160	1760300928994	OK	 
USER	Carga de Estados de cuentas	129	END	1760300928161	1760300928994
USER	Carga de Estados de cuentas	78	END	1760300928159	1760300928995
USER	Carga de Estados de cuentas	77	END	1760300928159	1760300928995
REQUEST	43		Accounts	1760300928155	1760300928998	OK	 
USER	Carga de Estados de cuentas	43	END	1760300928130	1760300928998
REQUEST	183		Accounts	1760300928164	1760300929004	OK	 
USER	Carga de Estados de cuentas	183	END	1760300928164	1760300929004
REQUEST	147		Accounts	1760300928163	1760300929006	OK	 
USER	Carga de Estados de cuentas	147	END	1760300928162	1760300929006
REQUEST	179		Accounts	1760300928165	1760300929007	OK	 
REQUEST	103		Accounts	1760300928161	1760300929007	OK	 
USER	Carga de Estados de cuentas	179	END	1760300928164	1760300929007
USER	Carga de Estados de cuentas	103	END	1760300928160	1760300929007
REQUEST	176		Accounts	1760300928164	1760300929010	OK	 
USER	Carga de Estados de cuentas	176	END	1760300928164	1760300929010
REQUEST	119		Accounts	1760300928161	1760300929019	OK	 
REQUEST	110		Accounts	1760300928166	1760300929019	OK	 
USER	Carga de Estados de cuentas	119	END	1760300928161	1760300929019
USER	Carga de Estados de cuentas	110	END	1760300928161	1760300929019
REQUEST	105		Accounts	1760300928161	1760300929021	OK	 
USER	Carga de Estados de cuentas	105	END	1760300928160	1760300929021
REQUEST	14		Accounts	1760300928155	1760300929023	OK	 
USER	Carga de Estados de cuentas	14	END	1760300928123	1760300929024
REQUEST	71		Accounts	1760300928159	1760300929024	OK	 
USER	Carga de Estados de cuentas	71	END	1760300928159	1760300929026
REQUEST	177		Accounts	1760300928166	1760300929031	OK	 
REQUEST	69		Accounts	1760300928159	1760300929031	OK	 
USER	Carga de Estados de cuentas	177	END	1760300928164	1760300929031
USER	Carga de Estados de cuentas	69	END	1760300928159	1760300929031
REQUEST	64		Accounts	1760300928159	1760300929033	OK	 
USER	Carga de Estados de cuentas	64	END	1760300928159	1760300929033
REQUEST	44		Accounts	1760300928155	1760300929036	OK	 
