ASSERTION	AAECAAMFAAAAAAAAAFlA
RUN	parabank.transaction.TransferLoadSimulation	transferloadsimulation	1760300862331	 	3.3.1
USER	Carga de Transferencias sin Login	2	START	1760300863416	1760300863416
USER	Carga de Transferencias sin Login	1	START	1760300863416	1760300863416
USER	Carga de Transferencias sin Login	3	START	1760300863446	1760300863446
USER	Carga de Transferencias sin Login	5	START	1760300863467	1760300863467
USER	Carga de Transferencias sin Login	4	START	1760300863467	1760300863467
USER	Carga de Transferencias sin Login	6	START	1760300863467	1760300863467
USER	Carga de Transferencias sin Login	7	START	1760300863483	1760300863483
USER	Carga de Transferencias sin Login	8	START	1760300863483	1760300863483
USER	Carga de Transferencias sin Login	9	START	1760300863486	1760300863486
USER	Carga de Transferencias sin Login	11	START	1760300863499	1760300863499
USER	Carga de Transferencias sin Login	10	START	1760300863499	1760300863499
USER	Carga de Transferencias sin Login	13	START	1760300863516	1760300863516
USER	Carga de Transferencias sin Login	14	START	1760300863516	1760300863516
USER	Carga de Transferencias sin Login	12	START	1760300863515	1760300863515
USER	Carga de Transferencias sin Login	15	START	1760300863531	1760300863531
USER	Carga de Transferencias sin Login	16	START	1760300863536	1760300863536
USER	Carga de Transferencias sin Login	17	START	1760300863536	1760300863536
USER	Carga de Transferencias sin Login	18	START	1760300863547	1760300863547
USER	Carga de Transferencias sin Login	19	START	1760300863563	1760300863563
USER	Carga de Transferencias sin Login	20	START	1760300863563	1760300863563
USER	Carga de Transferencias sin Login	21	START	1760300863566	1760300863566
USER	Carga de Transferencias sin Login	23	START	1760300863579	1760300863579
USER	Carga de Transferencias sin Login	22	START	1760300863579	1760300863579
USER	Carga de Transferencias sin Login	24	START	1760300863595	1760300863595
USER	Carga de Transferencias sin Login	25	START	1760300863596	1760300863596
USER	Carga de Transferencias sin Login	26	START	1760300863596	1760300863596
USER	Carga de Transferencias sin Login	27	START	1760300863611	1760300863611
USER	Carga de Transferencias sin Login	29	START	1760300863627	1760300863627
USER	Carga de Transferencias sin Login	30	START	1760300863627	1760300863627
USER	Carga de Transferencias sin Login	28	START	1760300863627	1760300863627
USER	Carga de Transferencias sin Login	32	START	1760300863643	1760300863643
USER	Carga de Transferencias sin Login	31	START	1760300863643	1760300863643
USER	Carga de Transferencias sin Login	33	START	1760300863646	1760300863646
USER	Carga de Transferencias sin Login	34	START	1760300863659	1760300863659
USER	Carga de Transferencias sin Login	35	START	1760300863659	1760300863659
USER	Carga de Transferencias sin Login	36	START	1760300863674	1760300863674
USER	Carga de Transferencias sin Login	37	START	1760300863676	1760300863676
USER	Carga de Transferencias sin Login	38	START	1760300863676	1760300863676
USER	Carga de Transferencias sin Login	41	START	1760300863701	1760300863701
USER	Carga de Transferencias sin Login	39	START	1760300863701	1760300863701
USER	Carga de Transferencias sin Login	40	START	1760300863701	1760300863701
